Package Name,Version
belle-sip,5.3.105
belr,5.3.105
bemenu,0.6.23
benchmark,1.8.5
berkeleylm,1.1.6
bettercap,2.4.0
beust-jcommander,1.85
bff,1.0.7
bff4,1
bibtool,2.68
bibview,2.2
bijiben,40.1
bind,9.20.20
bindfs,1.17.7
binsider,0.2.1
binutils,2.45
binwalk,2.4.2
biome,1.9.4
biosdevname,0.7.3.7.g495ab76
bird,2.15.1
bird3,3.2.0
bison,3.8.2
bitcoin,27.1
bitmap,1.1.1
bitstream-vera-fonts,1.10
bittwist,3.8
bitwise,0.50
bk,0.6.0
black-hole-solver,1.12.0
bladeRF,2023.02
blame,1.4+t20250101
blanket,0.7.0
blasphemer,0.1.8
blaspp,2024.05.31
blaze,3.8.2
bleachbit,4.6.0
blender,5.0.0
blinken,25.04.3
blis,1.0
bliss,0.77
blktests,0+20240213.ac3d8d0
blktrace,1.3.0+git.20211021
blog,2.35
blogbench,1.2
blosc,1.21.6
bluebird-theme,1.3
bluedevil6,6.4.2
blueman,2.4.2
bluemoon,2.12
blueprint-compiler,0.16.0
bluetui,0.5.1
bluetuith,0.2.3
bluez,5.79
bluez-firmware,1.2
bluez-qt,5.116.0
bmake,20230723
bmap-tools,3.7
bmkdep,20140112
bnd-maven-plugin,6.4.1
bogofilter-db-src,1.2.4
bogofilter-kyotocabinet-src,1.2.4
bogofilter-sqlite3-src,1.2.4
boinc-client,8.0.4
bolt,0.9.8
bomber,25.04.3
bonk,0.4.0+g0
bonnie,1.6
bonnie++,2.00a
boost-base,1.86.0
boost-defaults,1.86.0
boost-extra,1.86.0
bootiso,4.2.0
borgbackup,1.4.0
borgmatic,1.9.5
bottom,0.10.2~0
bouncycastle,1.83
bovo,25.04.3
bowtie,1.3.1
bowtie2,2.5.4
boxfort,0.1.4
bpf2go,0.16.0
bpfmon,2.52
bpftool,7.6.0
bpftop,0.7.1
bpftrace,0.24.2
bpftune,0.1~20241025
branding-openSUSE,16.0.20240405
brasero,3.12.3+43
breeze6,6.4.2
breeze6-gtk,6.4.2
brial,1.2.12
brickd,2.4.7
brickv,2.4.26
bridge-utils,1.7.1
brightnessctl,0.5.1
brise,20230603+git.5fdd2d6
brlemu,0.1
brlist,0.2
brltty,6.8
broadvoice16,1.2
broadvoice32,1.2
broot,1.39.0
brotli,1.1.0
browserpass-native,3.1.0
brp-check-suse,84.87+git20230324.8680ce4
bsd-games,2.17
bsdiff,4.3
bsf,2.4.0
bsh2,2.1.1
bstone,1.2.12
btfdump,0.0.4~0
btfs,2.24
